;speed;Arr;Dep;Approx_enter;Label;Shunting;Turnaround_time_minutes
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";IC;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";IC;;;;;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";IC;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";IC;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";IC;14:23;14:23;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";IC;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";IC;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";IC;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";IC;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";IC;;;;;;
"""GLC"", ""ST"", 9, ""(4)""";IC;14:30;14:32;;Gliwice;;
"""GLC-Szo"", ""Sem(odstep)"", 1, ""1"", ""(1)""";IC;;;;;;
to Wrocław Główny;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
4;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;14:10;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;14:13;14:13;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;14:16;14:16;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;14:19;14:19;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;14:23;14:23;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;14:25;14:25;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;14:30;14:30;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;14:37;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
102;;;;;;;
S8;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 9, ""(1)""";R;;14:15;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;14:18;14:18;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 3, ""(2)""";R;14:22;14:23;;Chorzów Batory;;
"""CB-CM"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";R;;;;;;
to Bytom;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
6;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;14:20;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;14:23;14:23;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;14:26;14:26;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;14:29;14:29;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;14:33;14:33;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;14:35;14:35;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;14:40;14:40;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;14:47;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
8;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;14:30;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;14:33;14:33;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;14:36;14:36;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;14:39;14:39;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;14:43;14:43;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;14:45;14:45;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;14:50;14:50;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;14:57;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
4604;;;;;;;
Intercity;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 1, ""(2)""";IC;;14:37;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";IC;;;;;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";IC;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;14:43;14:43;;Chorz�w Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";IC;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";IC;;;;;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";IC;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";IC;;;;;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";IC;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";IC;;;;;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";IC;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";IC;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";IC;14:53;14:53;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";IC;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";IC;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";IC;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";IC;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";IC;;;;;;
"""GLC"", ""ST"", 9, ""(4)""";IC;15:00;15:02;;Gliwice;;
"""GLC-Szo"", ""Sem(odstep)"", 1, ""1"", ""(1)""";IC;;;;;;
to Wrocław Główny;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
10;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;14:40;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;14:43;14:43;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;14:46;14:46;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;14:49;14:49;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;14:53;14:53;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;14:55;14:55;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;15:00;15:00;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;15:07;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
102;;;;;;;
S8;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 9, ""(1)""";R;;14:45;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;14:48;14:48;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 3, ""(2)""";R;14:52;14:53;;Chorzów Batory;;
"""CB-CM"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";R;;;;;;
to Bytom;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
12;;;;;;;
S1;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;;14:50;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;14:53;14:53;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;14:56;14:56;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;14:59;14:59;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;15:03;15:03;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;15:05;15:05;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;15:10;15:10;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";R;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";R;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";R;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;15:17;;;Gliwice;;
to Gliwice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
1;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;13:53;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;14:01;14:01;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;14:06;14:06;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;14:08;14:08;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;14:11;14:11;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;14:15;14:15;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;14:18;14:18;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;14:21;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
101;;;;;;;
S8;;;;;;;
from Bytom;;;;;;;
"""CM-CB"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""CB"", ""ST"", 4, ""(2)""";R;14:20;14:21;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;14:24;14:24;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 10, ""(4)""";R;14:28;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
3;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;14:03;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;14:11;14:11;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;14:16;14:16;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;14:18;14:18;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;14:21;14:21;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;14:25;14:25;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;14:28;14:28;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;14:31;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
6401;;;;;;;
Intercity;;;;;;;
from Wrocław;;;;;;;
"""Szo-GLC"", ""SBL(odstep)"", 2, ""1"", ""(1)""";IC;;;;;;
"""GLC"", ""ST"", 4, ""(1)""";IC;14:08;14:14;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";IC;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";IC;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";IC;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";IC;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";IC;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";IC;14:22;14:22;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";IC;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";IC;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";IC;;;;;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";IC;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";IC;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";IC;;;;;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";IC;;;;;;
"""CB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";IC;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";IC;;;;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KO"", ""ST"", 4, ""(3)""";IC;14:38;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
5;;;;;;;
S1 ;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 5, ""(2)""";R;;14:18;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;14:26;14:26;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;14:31;14:31;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;14:33;14:33;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;14:36;14:36;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;14:40;14:40;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
